,0,1,2,3,4,5,6,7,8,9,10,11
187,1616544000000,14.1550,15.3320,13.5958,13.5958,119308.84000000,1616630399999,1739115.2699,2801,50462.15000000,742293.0173,0
188,1616630400000,13.5818,13.6810,12.5600,12.9945,162773.41000000,1616716799999,2129570.0410,2671,64306.00000000,841701.2198,0
189,1616716800000,12.9625,14.7906,12.2869,14.7906,224286.99000000,1616803199999,3065261.6144,4072,97522.65000000,1345933.9978,0
190,1616803200000,14.7914,16.8400,14.7037,16.4745,328564.37000000,1616889599999,5182588.2399,6316,159845.92000000,2518379.2125,0
191,1616889600000,16.5486,19.3900,16.3051,18.0841,568830.74000000,1616975999999,10340556.5741,12780,276496.00000000,5021686.9949,0
192,1616976000000,18.1018,19.0004,17.6482,18.9060,196198.07000000,1617062399999,3611783.4763,5505,87346.38000000,1612652.4015,0
193,1617062400000,18.8949,20.8400,18.8826,19.1036,243498.76000000,1617148799999,4819048.0173,6515,109637.91000000,2173084.8597,0
194,1617148800000,19.1108,19.8304,18.0724,19.4389,168356.45000000,1617235199999,3210172.0139,4621,87251.32000000,1671212.7656,0
195,1617235200000,19.4129,20.3473,18.7600,19.0878,134185.65000000,1617321599999,2604905.8406,4177,57847.37000000,1126695.0260,0
196,1617321600000,19.0877,19.7987,18.5318,19.7987,134553.87000000,1617407999999,2575212.5472,4222,68044.02000000,1303105.8942,0
197,1617408000000,19.8000,23.8009,19.7224,22.4600,614579.47000000,1617494399999,13475691.0411,16046,295654.07000000,6455675.9311,0
198,1617494400000,22.4652,25.5356,22.0527,23.8112,571024.79000000,1617580799999,13660900.9082,13458,267112.14000000,6399084.4209,0
199,1617580800000,23.8156,24.6770,22.7660,23.0238,215132.68000000,1617667199999,5101041.1736,6721,109451.22000000,2598407.9560,0
200,1617667200000,23.0534,25.3000,21.8331,25.0783,292772.61000000,1617753599999,6839947.3863,8778,151428.71000000,3538412.0463,0
201,1617753600000,25.0783,28.4802,23.0000,26.5071,530254.86000000,1617839999999,13746655.6750,18608,257987.61000000,6717061.6016,0
202,1617840000000,26.5473,27.9445,25.6135,26.9959,262397.15000000,1617926399999,6967367.6855,7812,112791.62000000,3003058.4763,0
203,1617926400000,26.9716,28.9989,26.7875,27.6861,169975.48000000,1618012799999,4780211.8283,7774,95780.07000000,2696969.9614,0
204,1618012800000,27.6494,28.2465,25.8666,26.8162,170720.16000000,1618099199999,4648000.2395,5617,83308.71000000,2266554.8747,0
205,1618099200000,26.8064,28.6286,25.5240,27.8730,138348.66000000,1618185599999,3747111.7710,5942,69833.68000000,1895367.5767,0
206,1618185600000,27.8730,29.8900,26.8357,28.5625,243404.08000000,1618271999999,6925451.8577,8681,125130.01000000,3559027.8076,0
207,1618272000000,28.5625,28.7699,26.4005,27.4846,149977.72000000,1618358399999,4118411.4578,5632,66769.05000000,1839173.3013,0
208,1618358400000,27.4880,27.5818,24.7472,26.4532,319502.59000000,1618444799999,8372232.9030,9752,150318.71000000,3945756.1197,0
